tournament_id,tier_number,player_id
2026_sony_open,1,23950
2026_sony_open,1,32153
2026_sony_open,1,7612
2026_sony_open,2,10049
2026_sony_open,2,30736
2026_sony_open,2,25686
2026_sony_open,2,11852
2026_sony_open,2,7679
2026_sony_open,3,30618
2026_sony_open,3,32652
2026_sony_open,3,13528
2026_sony_open,3,21235
2026_sony_open,4,11677
2026_sony_open,4,14002
2026_sony_open,4,29152
2026_sony_open,4,4871
2026_sony_open,5,5697
2026_sony_open,5,13850
2026_sony_open,5,4949
2026_sony_open,5,12764
2026_sony_open,5,28592
2026_sony_open,5,10058297
2026_sony_open,5,14459
2026_sony_open,5,18238
